gene,median
ASCL2,5184.0
C11orf21,5511.0
RPL26L1,1117.0
ART5,5830.5
NUP98,1382.5
RHOG,1922.0
TRIM21,3282.0
TPP1,510.0
DCHS1,5005.0
MRPL17,1399.0
ZNF214,5494.0
RIC3,5929.0
STK33,5147.5
TMEM41B,1060.0
SBF2,3501.0
RNF141,3046.0
LYVE1,5099.0
EIF4G2,148.0
DKK3,3500.5
BTBD10,2267.5
COPB1,402.0
PSMA1,576.0
CALCA,5896.5
SOX6,4289.0
RPS13,962.0
ABCC8,5479.0
SERGEF,3270.0
TPH1,5183.0
SAAL1,2813.5
UEVLD,3402.5
IGSF22,5943.0
MRGPRX2,6073.0
E2F8,2945.0
FANCF,3508.0
LGR4,549.0
BDNF,5596.0
KIF18A,3632.0
KCNA4,6193.0
IMMP1L,4188.0
WT1,5648.0
CSTF3,1754.0
FBXO3,2969.0
LMO2,5941.0
ELF5,5837.0
APIP,3668.0
SLC1A2,5710.0
COMMD9,3290.0
TRAF6,2961.5
TP53I11,3409.0
CHST1,5573.0
PEX16,2914.0
AMBRA1,3309.0
HARBI1,3809.5
CKAP5,390.0
ARFGAP2,2961.0
PACSIN3,1253.0
ACP2,1911.0
MYBPC3,5456.0
RAPSN,5038.0
NUP160,1736.5
SSRP1,1126.0
UBE2L6,4029.0
YPEL4,5333.0
MED19,3539.0
OSBP,919.0
PATL1,1462.0
PRPF19,864.0
